id,tipoIncidencia,fechaReporte,estado,UsuarioID,MantenimientoID,nivelEscalamiento,tiempoResolucion
237,desgaste,2023-12-28,abierta,"['374-76-8245', '025-82-8686']","['mnt-05054', 'mnt-08978']",medio,-1
238,vandalismo,2024-01-15,cerrada,"['950-14-6267', '123-28-9053', '798-12-4017']",['mnt-01922'],bajo,56
239,rotura,2024-09-09,cerrada,"['741-10-6313', '594-31-9895', '096-76-3481']",['mnt-00971'],alto,-1
240,desgaste,2023-11-10,abierta,['581-11-8603'],['mnt-06404'],bajo,-1
241,rotura,2024-08-02,abierta,"['660-42-3037', '296-93-9791']",['mnt-14825'],alto,-1
242,vandalismo,2024-07-21,cerrada,"['548-80-8732', '859-56-6087', '905-57-1750']",['mnt-14769'],bajo,-1
243,mal funcionamiento,2023-10-28,abierta,['584-81-3709'],['mnt-02388'],bajo,-1
244,desgaste,2024-08-19,abierta,"['288-09-7245', '978-00-2364']","['mnt-07427', 'mnt-14453']",bajo,-1
245,vandalismo,2024-07-27,abierta,['907-22-6752'],['mnt-13104'],medio,-1
246,mal funcionamiento,2024-07-31,abierta,['241-80-5078'],['mnt-10638'],alto,-1
247,mal funcionamiento,2024-05-21,cerrada,"['704-42-3411', '680-73-1573', '413-51-9652']",['mnt-10645'],medio,-1
248,vandalismo,2024-07-16,abierta,"['515-25-4324', '809-05-9468']",['mnt-01064'],alto,-1
249,mal funcionamiento,2024-08-02,cerrada,"['714-59-0710', '466-05-3516']","['mnt-08218', 'mnt-08374']",medio,67
250,rotura,2024-07-22,cerrada,"['630-97-7517', '328-44-5494']",['mnt-04381'],alto,-1
